순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,최원영,LG,0.429,7,3,1,0,0,1,0,0,1,0,1번
2,홍창기,LG,0.311,383,119,11,3,2,48,73,9,71,7,1번
3,박해민,LG,0.28,82,23,0,1,0,10,6,1,16,1,1번
4,구본혁,LG,0.0,2,0,0,0,0,0,0,0,0,0,1번
4,김성진,LG,0.0,1,0,0,0,0,0,0,0,0,0,1번
4,김현종,LG,0.0,1,0,0,0,0,0,0,0,0,0,1번
4,문성주,LG,0.0,1,0,0,0,0,1,3,0,0,0,1번
4,송찬의,LG,0.0,1,0,0,0,0,0,0,0,0,0,1번
4,안익훈,LG,0.0,1,0,0,0,0,0,0,0,1,0,1번
4,최승민,LG,0.0,1,0,0,0,0,0,0,0,1,0,1번
1,김범석,LG,1.0,1,1,1,0,0,2,1,0,0,0,2번
1,김성진,LG,1.0,1,1,0,0,0,0,0,0,0,0,2번
3,김현수,LG,0.333,24,8,0,0,1,4,1,0,3,0,2번
4,홍창기,LG,0.326,46,15,1,0,2,8,8,3,9,1,2번
5,신민재,LG,0.317,104,33,2,3,0,9,18,2,11,1,2번
6,문성주,LG,0.313,166,52,8,2,0,29,33,1,20,3,2번
7,박해민,LG,0.275,91,25,2,2,1,11,10,1,17,1,2번
8,안익훈,LG,0.267,15,4,1,0,0,1,2,0,3,1,2번
9,최승민,LG,0.25,4,1,0,0,0,0,0,0,1,0,2번
10,오지환,LG,0.136,22,3,0,0,0,1,0,0,6,3,2번
11,구본혁,LG,0.0,2,0,0,0,0,1,0,0,0,0,2번
11,김대원,LG,0.0,1,0,0,0,0,0,0,0,1,0,2번
11,김현종,LG,0.0,3,0,0,0,0,0,0,1,1,0,2번
1,김현종,LG,1.0,1,1,0,0,0,0,0,0,0,0,3번
1,홍창기,LG,1.0,1,1,0,0,0,1,0,0,0,0,3번
3,안익훈,LG,0.667,3,2,0,0,0,0,0,0,0,0,3번
3,이영빈,LG,0.667,3,2,0,0,0,1,0,0,0,0,3번
5,문성주,LG,0.5,8,4,1,0,0,0,1,0,0,0,3번
5,최원영,LG,0.5,2,1,0,0,0,0,0,0,0,0,3번
7,오스틴,LG,0.366,123,45,7,1,12,40,13,0,13,4,3번
8,김범석,LG,0.346,26,9,1,0,0,3,0,0,9,1,3번
9,박해민,LG,0.333,6,2,0,0,0,2,0,0,1,0,3번
10,김현수,LG,0.294,306,90,15,2,6,43,31,3,44,7,3번
